timestamp,vl11.tick,vl11.s0,vl11.s1,vl11.s2,vl11.s3,vl11.s4,vl11.s5,vl11.s6,vl11.s7,vl11.s8,vl11.s9,vl11.s10
20421,0,0,0,0,0,0,0,0,0,0,0,0
20521,0,0,0,0,0,0,0,0,0,0,0,0
20621,0,0,0,0,0,0,0,0,0,0,0,0
20721,0,0,0,0,0,0,0,0,0,0,0,0
20821,0,0,0,0,0,0,0,0,0,0,0,0
20921,0,0,0,0,0,0,0,0,0,0,0,0
21021,0,0,0,0,0,0,0,0,0,0,0,0
21121,0,0,0,0,0,0,0,0,0,0,0,0
21221,0,0,0,0,0,0,0,0,0,0,0,0
21321,0,0,0,0,0,0,0,0,0,0,0,0
21421,0,0,0,0,0,0,0,0,0,0,0,0
21521,0,0,0,0,0,0,0,0,0,0,0,0
21621,0,0,0,0,0,0,0,0,0,0,0,0
21721,0,0,0,0,0,0,0,0,0,0,0,0
21821,0,0,0,0,0,0,0,0,0,0,0,0
21921,0,0,0,0,0,0,0,0,0,0,0,0
22021,0,0,0,0,0,0,0,0,0,0,0,0
22121,0,0,0,0,0,0,0,0,0,0,0,0
22221,0,0,0,0,0,0,0,0,0,0,0,0
22321,0,0,0,0,0,0,0,0,0,0,0,0
22421,0,0,0,0,0,0,0,0,0,0,0,0
22521,0,0,0,0,0,0,0,0,0,0,0,0
22621,0,0,0,0,0,0,0,0,0,0,0,0
22721,2,0,0,0,0,0,0,0,0,0,0,0
22821,5,0,0,0,0,0,0,0,0,0,0,0
22921,8,0,0,0,0,0,0,0,0,0,0,0
23021,11,0,0,0,0,0,0,0,0,0,0,0
23121,14,0,0,0,0,0,0,0,0,0,0,0
23221,18,0,0,0,0,0,0,0,0,0,0,0
23321,21,0,0,0,0,0,0,0,0,0,0,0
23421,24,0,0,0,0,0,0,0,0,0,0,0
23521,27,0,0,0,0,0,0,0,0,0,0,0
23621,31,0,0,0,0,0,0,0,0,0,0,0
23721,34,0,0,0,0,0,0,0,0,0,0,0
23821,37,0,0,0,0,0,0,0,0,0,0,0
23921,40,0,0,0,0,0,0,0,0,0,0,0
24021,43,0,0,0,0,0,0,0,0,0,0,0
24121,47,0,0,0,0,0,0,0,0,0,0,0
24221,50,0,0,0,0,0,0,0,0,0,0,0
24321,53,0,0,0,0,0,0,0,0,0,0,0
24421,56,0,0,0,0,0,0,0,0,0,0,0
24521,60,0,0,0,0,0,0,0,0,0,0,0
24621,63,0,0,0,0,0,0,0,0,0,0,0
24721,66,0,0,0,0,0,0,0,0,0,0,0
24821,69,0,0,0,0,0,0,0,0,0,0,0
24921,73,0,0,0,0,0,0,0,0,0,0,0
25021,76,0,0,0,0,0,0,0,0,0,0,0
25121,79,0,0,0,0,0,0,0,0,0,0,0
25221,82,0,0,0,0,0,0,0,0,0,0,0
25321,85,0,0,0,0,0,0,0,0,0,0,0
25421,89,0,0,0,0,0,0,0,0,0,0,0
25521,92,0,0,0,0,0,0,0,0,0,0,0
25621,95,0,0,0,0,0,0,0,0,0,0,0
25721,98,0,0,0,0,0,0,0,0,0,0,0
25821,102,0,0,0,0,0,0,0,0,0,0,0
25921,105,0,0,0,0,0,0,0,0,0,0,0
26021,108,0,0,0,0,0,0,0,0,0,0,0
26121,111,0,0,0,0,0,0,0,0,0,0,0
26221,114,0,0,0,0,0,0,0,0,0,0,0
26321,118,0,0,0,0,0,0,0,0,0,0,0
26421,121,0,0,0,0,0,0,0,0,0,0,0
26521,124,0,0,0,0,0,0,0,0,0,0,0
26621,127,0,0,0,0,0,0,0,0,0,0,0
26721,131,0,0,0,0,0,0,0,0,0,0,0
26821,134,0,0,0,0,0,0,0,0,0,0,0
26921,137,0,0,0,0,0,0,0,0,0,0,0
27021,140,0,0,0,0,0,0,0,0,0,0,0
27121,143,0,0,0,0,0,0,0,0,0,0,0
27221,147,0,0,0,0,0,0,0,0,0,0,0
27321,150,0,0,0,0,0,0,0,0,0,0,0
27421,153,0,0,0,0,0,0,0,0,0,0,0
27521,156,0,0,0,0,0,0,0,0,0,0,0
27621,160,0,0,0,0,0,0,0,0,0,0,0
27721,163,0,0,0,0,0,0,0,0,0,0,0
27821,166,0,0,0,0,0,0,0,0,0,0,0
27921,169,0,0,0,0,0,0,0,0,0,0,0
28021,172,0,0,0,0,0,0,0,0,0,0,0
28121,176,0,0,0,0,0,0,0,0,0,0,0
28221,179,0,0,0,0,0,0,0,0,0,0,0
28321,182,0,0,0,0,0,0,0,0,0,0,0
28421,185,0,0,0,0,0,0,0,0,0,0,0
28521,189,0,0,0,0,0,0,0,0,0,0,0
28621,192,0,0,0,0,0,0,0,0,0,0,0
28721,195,0,0,0,0,0,0,0,0,0,0,0
28821,198,0,0,0,0,0,0,0,0,0,0,0
28921,202,0,0,0,0,0,0,0,0,0,0,0
29021,205,0,0,0,0,0,0,0,0,0,0,0
29121,208,0,0,0,0,0,0,0,0,0,0,0
29221,211,0,0,0,0,0,0,0,0,0,0,0
29321,214,0,0,0,0,0,0,0,0,0,0,0
29421,218,0,0,0,0,0,0,0,0,0,0,0
29521,221,0,0,0,0,0,0,0,0,0,0,0
29621,224,0,0,0,0,0,0,0,0,0,0,0
29721,227,0,0,0,0,0,0,0,0,0,0,0
29821,231,0,0,0,0,0,0,0,0,0,0,0
29921,234,0,0,0,0,0,0,0,0,0,0,0
30021,237,0,0,0,0,0,0,0,0,0,0,0
30121,240,0,0,0,0,0,0,0,0,0,0,0
30221,243,0,0,0,0,0,0,0,0,0,0,0
30321,247,0,0,0,0,0,0,0,0,0,0,0
